,,,,,,
,SPACE,KS,Nebula,Homelok,Common,Definitions
,Property,Site,Installation,Property/Apartment building,,See this cell
AP,Access point,Lock,Access point,Door,,"Access point (Nebula): Represents a smart electronic device capable of granting or denying access to a secured area, such as a room, office, apartment, etc. It may also serve to lock/unlock secured containers like cabinets, drawers or lockers. In the real world, it can take on different forms, for example: a door equipped with an electronic escutcheon or cylinder, a control unit (with an electric strike), a padlock, etc. In general, a credential, (see key) must be presented for the access point to grant access. As with all SALTO hardware devices, access points use end-to-end encryption to transfer information to and from the software.
Not to be confused with the term wireless access point, which is a networking hardware device that allows other Wi-Fi devices to connect to a wired network.

Lock (KS): Locks are what it’s all about for SALTO KS: They provide access to your employees, customers or guests. SALTO locks are connected to a repeater or IQ, so that they can check the user’s access and let them in, or not. In general, SALTO offers a multitude of lock types that will fit any door and any situation."
,Door,Lock,Access point,,,Door (SPACE): A door within the SALTO system that has controlled access. Doors can be either online or offline.
,Locker,,Locker,,,"Locker (SPACE): The term ‘locker’ within the SALTO system can refer to a locker, cupboard, display cabinet, box, or case fitted with an electronic device that controls the lock. SALTO lockers are commonly used in corporate organizations, universities, and gyms. "
,Room,,,,,Room (SPACE): A room assigned to one or more guests in a hotel site
,Zone,,Access right,,,"Zone (SPACE): A zone is a specified group of access points that are grouped together to make them easier to manage in the system. For example, a zone could be the doors on the first floor, all the lockers in the gym area, or all the doors in the financial services area."
,Location,,Installation,,,"Location (SPACE): A large area of designated access points in the SALTO system, for example, all of the access points in the headquarters or regional offices of an organization.
Installation (Nebula): An installation represents any entity (company, office, building, etc.) that uses Nebula. As such, it represents a collection of all the access control objects (such as access points, access rights, users, etc.) that comprise the access control system."
,Function,,,,,"Function (SPACE): A function is a category of permissions within a SALTO location. For example, if a company creates a location for each of its offices across the country, it can assign functions such as entrances and maintenance, to each location. For the company location Melbourne, for example, the company can assign the entrances function to all building entrances at that location."
,Elevator group,,,,,
,Destination,,,,,"Destination (SPACE): Used for elevators. For example, an elevator on the same floor can have 2 different destinations, controlled by the elevator doors. Think of an elevator that has 2 doors, one front and one rear, installed in a building where the elevator goes directly to the house. The front door could be apartment 3A and the back door apartment 3B. The elevator goes to the same floor, but to different destinations."
,Destination entry terminals,,,,,
,Outputs,,,,,"Output (SPACE): In the SALTO system, an output is a type of electrical permission or authorization used to activate devices like ESDs or elevators.
For example, you can control elevator access to specific floors by creating outputs. If a CU is connected to a relay extension board, you can use outputs to specify that only a designated user can activate one or multiple relays in an elevator. If you enable Floor 1 and Floor 3 in their access permissions, the user can only access those specific floors and not Floor 2."
,Lockdown areas,,,,,
,Limited occupancy areas,,,,,
,Roll-call areas,,,,,
,Access point time periods,,,,,
,Access point automatic changes,,,,,"Automatic changes (SPACE):You can use access point automatic changes to allow a number of different opening modes to switch automatically and vary across different time periods. Opening modes are defined when you set up doors and/or lockers.
For example, a door’s opening mode may have automatic changes enabled as follows:
- 00.00 to 08.00 Office
- 08.00 to 18.00 Automatic
- 18.00 to 00.00 Standard"
Cardholders,Cardholder,People/User,User,Pod member?,,"Cardholder (SPACE): A generic term that covers all persons issued with a key. There can be various types of cardholders, for example, users, who are generally the staff of an organization.
Pod member (Homelok): Two pod members at different levels:
- Apartment manager and pod member:
    - Apartment manager: in a MFH situation I want my apartment to be rented by a company (Free Rentals)
    - Pod member: Free Rentals can manage my apartment but I have more privileges than them.
- Pod members and pod members:
    - In a co-living situation, all the members have the same privileges.
    - A pod member can only see his/her own events + the ones of his/her guests. An apartment manager can see the events of every member/guest."
,User,People/User,User,,,"User (Nebula): There are generally two types of users in Nebula.
- Users who require access to and within your installation
- Users with management roles
Typically a user is a person who requires access to and within your installation. Users gain access using a key and to give access to these users you need to assign them access rights.
The other type of user is one with a management role. This user has the ability to manage different elements of the software. These elements can be other users, the access rights of those users or the access points associated with those access rights, for example. Users with management roles can be differentiated from one another by the type of role that you assign them. Note that users with management roles can also be users of keys."
,Visitor,People/User,User,,,"Visitor (SPACE): A person requiring temporary access to a site for a specified time period, for example, to do site maintenance"
,Guest,People/User,User,Pod guest,,"Guest (SPACE): A person who is given a key to allow access for the duration of their stay at a hotel.
Pod guest (Homelok):
- Can open doors (PWA or Mobile App or PIN)
- Doesn’t have authorisation to invite other guests
- Can be permanent (e.g. kids), temporary or one shot.
- A pod guest can see only his/her own events."
,User access levels,Access/Access Groups,Access right,,,"Access levels (SPACE): User access levels are used to define a group of users with the same access permissions, for example, all staff in a department or all managerial staff. This means that if you are configuring a door entry on the Door information screen, you can allow access permissions for that door to all users who belong to a specific user access level. Without user access levels, you would have to associate each individual user with that particular door.
Access rights (Nebula): Represents a materialized view or snapshot of access permissions. Access rights simplify the management of access permissions for large sets of users with similar access profiles. An access right can be associated with multiple access points."
,Visitor access levels,Access/Access Groups,Access right,,,
,Guest access levels,Access/Access Groups,Access right,,,
